lc_time;T_in1;T_in2;T_wall_in;T_wall_out;T_outside;T_outside_PT;T_chamber;T_leaf1;T_leaf2;T_leaf_in;Wind;T_dew;Air_inflow;Air_outflow;nr_time;T_leaf_IR;V_leaf_IR;sens_timefirst;sens_timelast;water_flow_avg;water_flow_std;water_flow_n;pow_timefirst;pow_timelast;fan_power_avg;fan_power_std;fan_power_n;Comment
TS;K;K;K;K;K;Deg C;K;K;K;K;m/s;degC;SLPM;SLPM;TS;Deg C;mV;;;ul/min;ul/min;ul/min;TS;TS;W;W;;
2014-03-05 15:15:18;16.23;16.35;22.73;22.76;22.75;23.58;22.70;20.83;21.22;NaN;4.943;-17.90;5.051;2.278;2014-03-05 15:15:19;15.54;-0.2384;2014-03-05 15:15:07;2014-03-05 15:15:17;-17.19;0.2266;95;2014-03-05 15:14:22;2014-03-05 15:15:21;1.407;2.220e-16;54;lower Tdew, upwind CTA
2014-03-05 15:32:02;16.25;16.36;22.81;22.85;22.83;23.70;22.77;20.99;21.34;NaN;5.275;-10.07;5.046;2.248;2014-03-05 15:32:01;15.86;-0.2277;2014-03-05 15:31:53;2014-03-05 15:32:03;-16.54;0.3207;100;2014-03-05 15:31:04;2014-03-05 15:32:03;1.407;2.220e-16;54;higher Tdew, upwind CTA
2014-03-05 16:08:45;16.24;16.36;22.86;23.19;23.19;24.07;22.82;20.98;21.41;17.25;5.329;-5.019;5.357;2.387;2014-03-05 16:08:45;15.84;-0.2283;2014-03-05 16:08:36;2014-03-05 16:08:45;-15.94;0.1731;100;2014-03-05 16:07:47;2014-03-05 16:08:46;1.407;0.0000;55;sun has come out, outside wall suddenly started warming, rest unaffected
2014-03-05 16:54:32;16.23;16.35;23.08;23.06;23.01;23.70;23.05;21.45;21.74;17.78;5.252;0.08289;5.193;2.409;2014-03-05 16:54:33;16.50;-0.2055;2014-03-05 16:54:25;2014-03-05 16:54:35;-15.02;0.2545;100;2014-03-05 16:53:36;2014-03-05 16:54:35;1.406;0.0000;54;
2014-03-06 10:35:50;15.87;15.97;21.86;21.81;21.79;22.57;21.83;20.06;20.50;16.32;5.356;0.09190;5.265;2.401;2014-03-06 10:35:53;16.65;-0.2004;2014-03-06 10:35:43;2014-03-06 10:35:53;-16.51;0.1232;100;2014-03-06 10:34:54;2014-03-06 10:35:53;1.412;0.0003413;52;
2014-03-06 11:11:22;15.60;15.69;21.72;21.77;21.72;22.53;21.68;20.13;20.50;16.78;5.455;5.125;5.957;2.635;2014-03-06 11:11:24;17.11;-0.1843;2014-03-06 11:11:06;2014-03-06 11:11:16;-14.94;0.1902;100;2014-03-06 11:10:25;2014-03-06 11:11:24;1.412;0.0000;54;
2014-03-06 12:54:16;15.45;15.54;21.74;21.77;21.73;22.41;21.69;20.35;20.74;17.71;5.360;10.21;6.529;2.843;2014-03-06 12:54:17;17.96;-0.1545;2014-03-06 12:54:10;2014-03-06 12:54:18;-12.30;0.1152;80;2014-03-06 12:53:18;2014-03-06 12:54:17;1.412;0.0000;55;
2014-03-06 13:58:02;15.89;15.99;21.95;21.93;21.92;22.69;21.92;20.20;20.57;16.46;5.451;-5.014;5.410;2.442;2014-03-06 13:58:01;16.46;-0.2069;2014-03-06 13:57:52;2014-03-06 13:58:02;-15.03;0.1793;100;2014-03-06 13:57:04;2014-03-06 13:58:03;1.412;0.0000;54;
2014-03-06 14:55:11;15.26;15.32;22.22;22.21;22.19;22.93;22.24;20.24;21.08;18.01;0.8222;10.21;7.830;3.616;2014-03-06 14:55:10;17.47;-0.1719;2014-03-06 14:55:02;2014-03-06 14:55:12;-6.361;0.1421;100;2014-03-06 14:54:13;2014-03-06 14:55:12;1.412;0.0000;54;low wind speed
2014-03-06 15:18:23;15.35;15.41;22.19;22.24;22.21;23.02;22.20;20.51;21.26;17.94;1.747;10.20;7.391;3.424;2014-03-06 15:18:27;17.42;-0.1735;2014-03-06 15:18:16;2014-03-06 15:18:26;-7.879;0.1374;100;2014-03-06 15:17:27;2014-03-06 15:18:26;1.412;0.0000;55;varying wind speed
2014-03-06 15:50:24;15.55;15.63;22.27;22.29;22.25;23.18;22.28;20.76;21.46;18.03;2.620;10.21;6.851;3.214;2014-03-06 15:50:24;17.45;-0.1725;2014-03-06 15:50:15;2014-03-06 15:50:25;-9.257;0.1355;100;2014-03-06 15:49:26;2014-03-06 15:50:25;1.383;0.0004356;55;varying wind speed
2014-03-06 16:18:30;15.75;15.81;22.31;22.32;22.30;23.14;22.34;20.98;21.65;18.10;3.481;10.21;6.357;3.084;2014-03-06 16:18:31;17.52;-0.1699;2014-03-06 16:18:21;2014-03-06 16:18:31;-10.61;0.1678;100;2014-03-06 16:17:33;2014-03-06 16:18:31;1.360;0.0004644;54;varying wind speed
2014-03-06 16:43:42;15.82;15.90;22.41;22.44;22.44;23.26;22.41;21.18;21.74;18.19;4.478;10.21;6.251;3.093;2014-03-06 16:43:46;17.62;-0.1665;2014-03-06 16:43:35;2014-03-06 16:43:45;-11.60;0.1218;100;2014-03-06 16:42:46;2014-03-06 16:43:45;1.397;0.0002597;55;varying wind speed
2014-03-06 17:15:50;15.79;15.88;22.49;22.46;22.44;23.14;22.46;21.37;21.92;18.36;5.468;10.21;6.136;3.064;2014-03-06 17:15:52;17.79;-0.1605;2014-03-06 17:15:42;2014-03-06 17:15:52;-12.07;0.1280;100;2014-03-06 17:14:53;2014-03-06 17:15:52;1.410;0.0003118;55;varying wind speed
