CSV Version,1
"File name","35_4_1a.rpt"
"Title",""
"Measurement date","8/20/2013"
"Measurement time","2:10:13 PM"
"User mode","Easy"
"Objective lens","Standard lens 10.0","x"
"NA","0.300"
"Size","Standard"
"Mode","Surface profile"
"RPD","ON"
"Quality","High accuracy"
"Pitch","4.000 ","um"
"Z measurement distance","310.534 ","um"
"Double scan","Auto(ON)"
"Brightness1","7100"
"Brightness2","8000"
"ND filter","1","%","10","%"
"Optical zoom","1.0","x"
"Average count","1","time"
"Filter","OFF"
"Fine mode","ON"
"Line count","---"
"Line position1","---"
"Line position2","---"
"Line position3","---"
"Camera gain","0","dB"
"Shutter speed","Auto"
"White balance mode","Auto"
"White balance R","108"
"White balance B","174"
"Intensity correction mode","Gamma correction"
"Gamma correction value","0.45"
"Gamma offset","0","%"
"W/B inversion","OFF"
"Head type","VK-X210"
"Correct intensity eccentricity","ON"
"Correct field curvature","ON"
"XY calibration","1399.116 ","nm/pixel"
"Z calibration","0.100 ","nm/digit"
"Saturation","5"
"Contrast","5"
"Brightness","0"
"AI noise elimination","Auto(ON)"
"Angled surface noise filter","Auto(ON)"

"Bump measurement"
"","Average height","","Max. height","","C.S. area","","Surface area","","Volume","","Area ratio","","Perimeter","","Horz. Feret diameter","","Vert. Feret diameter","","Circle equivalent dia","","Comment"
"1","-65.20","um","-120.02","um","1750.03","um2","15717.91","um2","114096.56","um3","0.114","%","198.37","um","57.36","um","46.17","um","47.20","um",""
"2","-70.14","um","-112.97","um","1221.50","um2","12272.70","um2","85678.40","um3","0.079","%","167.59","um","44.77","um","41.97","um","39.44","um",""
"3","-63.46","um","-101.21","um","1072.72","um2","10458.94","um2","68069.77","um3","0.070","%","129.17","um","40.57","um","36.38","um","36.96","um",""
"4","-69.34","um","-135.78","um","1154.94","um2","11456.42","um2","80084.88","um3","0.075","%","144.66","um","43.37","um","36.38","um","38.35","um",""
"5","-62.97","um","-93.06","um","1209.75","um2","10607.23","um2","76176.74","um3","0.079","%","137.91","um","41.97","um","39.18","um","39.25","um",""
"6","-60.83","um","-86.56","um","1231.28","um2","10038.15","um2","74899.57","um3","0.080","%","144.32","um","44.77","um","39.18","um","39.59","um",""
"7","-56.43","um","-82.48","um","1160.81","um2","9198.97","um2","65505.65","um3","0.075","%","137.91","um","40.57","um","37.78","um","38.44","um",""
"8","-63.23","um","-135.78","um","1100.13","um2","10375.40","um2","69562.60","um3","0.071","%","135.93","um","41.97","um","37.78","um","37.43","um",""
"9","-68.79","um","-111.62","um","1630.62","um2","14390.54","um2","112177.71","um3","0.106","%","182.40","um","58.76","um","41.97","um","45.56","um",""
"10","-67.53","um","-103.64","um","1215.62","um2","11377.31","um2","82091.38","um3","0.079","%","142.01","um","44.77","um","37.78","um","39.34","um",""
