CSV Version,1
"File name","35_4_2c.rpt"
"Title",""
"Measurement date","8/20/2013"
"Measurement time","2:48:00 PM"
"User mode","Easy"
"Objective lens","Standard lens 10.0","x"
"NA","0.300"
"Size","Standard"
"Mode","Surface profile"
"RPD","ON"
"Quality","High accuracy"
"Pitch","4.000 ","um"
"Z measurement distance","331.358 ","um"
"Double scan","Auto(ON)"
"Brightness1","6740"
"Brightness2","7452"
"ND filter","3","%","30","%"
"Optical zoom","1.0","x"
"Average count","1","time"
"Filter","OFF"
"Fine mode","ON"
"Line count","---"
"Line position1","---"
"Line position2","---"
"Line position3","---"
"Camera gain","0","dB"
"Shutter speed","Auto"
"White balance mode","Auto"
"White balance R","108"
"White balance B","174"
"Intensity correction mode","Gamma correction"
"Gamma correction value","0.45"
"Gamma offset","0","%"
"W/B inversion","OFF"
"Head type","VK-X210"
"Correct intensity eccentricity","ON"
"Correct field curvature","ON"
"XY calibration","1399.116 ","nm/pixel"
"Z calibration","0.100 ","nm/digit"
"Saturation","5"
"Contrast","5"
"Brightness","0"
"AI noise elimination","Auto(ON)"
"Angled surface noise filter","Auto(ON)"

"Bump measurement"
"","Average height","","Max. height","","C.S. area","","Surface area","","Volume","","Area ratio","","Perimeter","","Horz. Feret diameter","","Vert. Feret diameter","","Circle equivalent dia","","Comment"
"1","-96.82","um","-178.31","um","1372.23","um2","34344.69","um2","132854.21","um3","0.089","%","150.60","um","51.77","um","39.18","um","41.80","um",""
"2","-97.49","um","-178.31","um","1053.15","um2","21277.10","um2","102668.00","um3","0.068","%","172.51","um","55.96","um","34.98","um","36.62","um",""
"3","-97.44","um","-178.31","um","1474.02","um2","33257.53","um2","143633.18","um3","0.096","%","174.63","um","60.16","um","34.98","um","43.32","um",""
"4","-101.34","um","-178.31","um","1192.13","um2","21607.75","um2","120810.92","um3","0.077","%","146.30","um","46.17","um","37.78","um","38.96","um",""
"5","-91.38","um","-178.31","um","1012.04","um2","19618.81","um2","92477.66","um3","0.066","%","133.13","um","37.78","um","37.78","um","35.90","um",""
"6","-89.40","um","-178.31","um","1268.48","um2","24045.70","um2","113400.77","um3","0.082","%","158.99","um","47.57","um","41.97","um","40.19","um",""
"7","-98.62","um","-178.31","um","1540.57","um2","28243.42","um2","151927.21","um3","0.100","%","169.71","um","57.36","um","41.97","um","44.29","um",""
"8","-95.25","um","-178.31","um","828.03","um2","20061.52","um2","78869.03","um3","0.054","%","122.08","um","39.18","um","29.38","um","32.47","um",""
"9","-88.54","um","-178.31","um","1554.28","um2","31181.73","um2","137609.39","um3","0.101","%","180.90","um","60.16","um","43.37","um","44.49","um",""
"10","-95.23","um","-178.31","um","1246.94","um2","25226.32","um2","118749.16","um3","0.081","%","147.94","um","47.57","um","39.18","um","39.85","um",""
"11","-98.93","um","-178.31","um","1102.09","um2","22185.56","um2","109034.56","um3","0.072","%","145.14","um","46.17","um","34.98","um","37.46","um",""
"12","-96.33","um","-178.31","um","996.38","um2","19980.43","um2","95979.82","um3","0.065","%","123.24","um","36.38","um","36.38","um","35.62","um",""
"13","-88.03","um","-178.31","um","1209.75","um2","19731.99","um2","106499.17","um3","0.079","%","139.55","um","43.37","um","40.57","um","39.25","um",""
"14","-88.74","um","-178.31","um","1029.66","um2","20369.43","um2","91376.42","um3","0.067","%","131.15","um","40.57","um","36.38","um","36.21","um",""
"15","-74.43","um","-178.31","um","1004.21","um2","19922.82","um2","74746.52","um3","0.065","%","139.07","um","40.57","um","36.38","um","35.76","um",""
"16","-89.37","um","-178.31","um","1109.92","um2","22633.39","um2","99188.07","um3","0.072","%","146.64","um","47.57","um","36.38","um","37.59","um",""
"17","-104.88","um","-178.31","um","1421.16","um2","32050.01","um2","149056.17","um3","0.092","%","156.68","um","47.57","um","40.57","um","42.54","um",""
"18","-94.27","um","-178.31","um","1239.11","um2","28551.55","um2","116816.47","um3","0.080","%","166.57","um","55.96","um","36.38","um","39.72","um",""
"19","-102.27","um","-178.31","um","1094.26","um2","26373.02","um2","111906.83","um3","0.071","%","135.45","um","40.57","um","40.57","um","37.33","um",""
"20","-108.54","um","-178.31","um","1360.48","um2","25913.42","um2","147667.36","um3","0.088","%","158.66","um","53.17","um","36.38","um","41.62","um",""
"21","-80.42","um","-178.31","um","1059.02","um2","19293.89","um2","85164.67","um3","0.069","%","128.84","um","40.57","um","37.78","um","36.72","um",""
"22","-81.85","um","-178.31","um","959.19","um2","18023.25","um2","78510.70","um3","0.062","%","127.54","um","40.57","um","34.98","um","34.95","um",""
"23","-97.60","um","-178.31","um","1129.49","um2","22868.86","um2","110236.23","um3","0.073","%","133.61","um","40.57","um","37.78","um","37.92","um",""
"24","-78.09","um","-178.31","um","1090.34","um2","23851.10","um2","85142.56","um3","0.071","%","147.80","um","50.37","um","33.58","um","37.26","um",""
"25","-99.23","um","-178.31","um","1393.76","um2","29125.11","um2","138302.22","um3","0.091","%","206.76","um","61.56","um","37.78","um","42.13","um",""
"26","-104.85","um","-178.31","um","1607.13","um2","30467.82","um2","168511.46","um3","0.104","%","171.35","um","57.36","um","40.57","um","45.24","um",""
"27","-89.01","um","-178.31","um","1000.30","um2","19046.74","um2","89039.41","um3","0.065","%","134.29","um","43.37","um","36.38","um","35.69","um",""
"28","-85.74","um","-178.31","um","990.51","um2","16464.00","um2","84928.44","um3","0.064","%","122.08","um","39.18","um","36.38","um","35.51","um",""
"29","-77.23","um","-178.31","um","967.02","um2","17331.91","um2","74684.04","um3","0.063","%","120.44","um","39.18","um","37.78","um","35.09","um",""
"30","-91.81","um","-178.31","um","1282.18","um2","20364.17","um2","117716.79","um3","0.083","%","149.44","um","50.37","um","41.97","um","40.40","um",""
"31","-76.32","um","-178.31","um","921.99","um2","19272.87","um2","70369.83","um3","0.060","%","125.36","um","39.18","um","32.18","um","34.26","um",""
