CSV Version;1
"File name";"35_2a_matte_10x.vk4"
"Title";"35_2a_matte_10x"
"Measurement date";"11/21/2016"
"Measurement time";"2:13:39 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"258.347 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6620"
"Brightness2";"7316"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-34.2657";"um";"-50.4168";"um";"1129.4923";"um2";"6891.5168";"um2";"38702.8528";"um3";"0.073";"%";"138.5587";"um";"42.6730";"um";"37.0766";"um";"37.9225";"um";""
"2";"-31.4233";"um";"-49.2393";"um";"1005.1894";"um2";"7762.6619";"um2";"31586.4016";"um3";"0.065";"%";"128.4957";"um";"41.2739";"um";"32.8792";"um";"35.7749";"um";""
"3";"-33.9703";"um";"-50.2073";"um";"868.6520";"um2";"7053.5909";"um2";"29508.3851";"um3";"0.056";"%";"115.4938";"um";"36.3770";"um";"33.5788";"um";"33.2566";"um";""
"4";"-29.9455";"um";"-46.8993";"um";"840.2679";"um2";"6097.9032";"um2";"25162.2318";"um3";"0.055";"%";"115.1544";"um";"34.9779";"um";"33.5788";"um";"32.7087";"um";""
"5";"-33.7452";"um";"-48.9133";"um";"1080.0647";"um2";"7607.2693";"um2";"36446.9664";"um3";"0.070";"%";"129.8245";"um";"40.5744";"um";"35.6775";"um";"37.0834";"um";""
"6";"-35.4966";"um";"-51.0146";"um";"1076.1497";"um2";"7507.1976";"um2";"38199.6123";"um3";"0.070";"%";"134.4316";"um";"39.8748";"um";"36.3770";"um";"37.0162";"um";""
"7";"-28.0510";"um";"-47.9381";"um";"529.0213";"um2";"3996.3260";"um2";"14839.5553";"um3";"0.034";"%";"97.0362";"um";"27.2828";"um";"26.5832";"um";"25.9532";"um";""
"8";"-34.5107";"um";"-55.6943";"um";"1090.8311";"um2";"9093.2794";"um2";"37645.3956";"um3";"0.071";"%";"130.4743";"um";"39.8748";"um";"37.0766";"um";"37.2678";"um";""
"9";"-33.3910";"um";"-53.5629";"um";"1068.8090";"um2";"8305.8089";"um2";"35688.5587";"um3";"0.069";"%";"134.4316";"um";"40.5744";"um";"36.3770";"um";"36.8897";"um";""
"10";"-35.4258";"um";"-57.6204";"um";"897.5255";"um2";"6980.6252";"um2";"31795.6018";"um3";"0.058";"%";"116.3134";"um";"34.9779";"um";"34.9779";"um";"33.8048";"um";""
"11";"-31.8184";"um";"-50.8346";"um";"1142.2162";"um2";"7517.7783";"um2";"36343.5165";"um3";"0.074";"%";"133.6120";"um";"42.6730";"um";"38.4757";"um";"38.1355";"um";""
"12";"-36.4090";"um";"-54.2303";"um";"1043.8505";"um2";"6998.7303";"um2";"38005.5835";"um3";"0.068";"%";"127.2663";"um";"37.7761";"um";"34.9779";"um";"36.4564";"um";""
"13";"-32.2875";"um";"-51.0794";"um";"548.5965";"um2";"4546.2716";"um2";"17712.8160";"um3";"0.036";"%";"94.2379";"um";"26.5832";"um";"29.3814";"um";"26.4291";"um";""
