CSV Version;1
"File name";"35_2a_shiny_10x.rpt"
"Title";"35_2a_10x"
"Measurement date";"11/21/2016"
"Measurement time";"1:46:30 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"247.140 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6710"
"Brightness2";"7557"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-11.5643";"um";"-27.4957";"um";"1855.7343";"um2";"6603.4106";"um2";"21460.1082";"um3";"0.121";"%";"245.0783";"um";"59.4624";"um";"53.1664";"um";"48.6086";"um";""
"2";"-21.2121";"um";"-32.7208";"um";"1036.9992";"um2";"5541.8595";"um2";"21996.8347";"um3";"0.067";"%";"128.3551";"um";"39.1752";"um";"36.3770";"um";"36.3366";"um";""
"3";"-18.1066";"um";"-29.6034";"um";"746.7960";"um2";"4727.1951";"um2";"13521.8639";"um3";"0.049";"%";"105.9401";"um";"34.2783";"um";"29.3814";"um";"30.8359";"um";""
"4";"-24.2437";"um";"-41.8723";"um";"925.4202";"um2";"4496.4488";"um2";"22435.4939";"um3";"0.060";"%";"125.8672";"um";"41.9735";"um";"32.8792";"um";"34.3261";"um";""
"5";"-19.2289";"um";"-31.1360";"um";"992.9549";"um2";"4633.1753";"um2";"19093.3328";"um3";"0.065";"%";"136.6503";"um";"40.5744";"um";"36.3770";"um";"35.5566";"um";""
"6";"-13.4774";"um";"-22.7959";"um";"1082.0223";"um2";"4736.1262";"um2";"14582.6912";"um3";"0.070";"%";"138.7284";"um";"40.5744";"um";"35.6775";"um";"37.1170";"um";""
"7";"-10.1270";"um";"-19.4328";"um";"959.1875";"um2";"4779.2252";"um2";"9713.5564";"um3";"0.062";"%";"121.7402";"um";"39.8748";"um";"30.7806";"um";"34.9468";"um";""
"8";"-16.0165";"um";"-28.1513";"um";"650.3879";"um2";"3384.6451";"um2";"10416.8862";"um3";"0.042";"%";"100.0041";"um";"29.3814";"um";"30.0810";"um";"28.7767";"um";""
"9";"-20.9750";"um";"-30.6668";"um";"976.3159";"um2";"4980.3500";"um2";"20478.1060";"um3";"0.063";"%";"129.2450";"um";"44.7717";"um";"32.1797";"um";"35.2574";"um";""
"10";"-14.8095";"um";"-28.0180";"um";"1048.2549";"um2";"4142.6736";"um2";"15523.9948";"um3";"0.068";"%";"173.6651";"um";"48.2695";"um";"33.5788";"um";"36.5333";"um";""
"11";"-13.0940";"um";"-23.8705";"um";"1067.8302";"um2";"5449.1132";"um2";"13982.0633";"um3";"0.069";"%";"129.2450";"um";"40.5744";"um";"34.9779";"um";"36.8728";"um";""
"12";"-13.2145";"um";"-28.7417";"um";"970.9327";"um2";"3939.8947";"um2";"12830.2918";"um3";"0.063";"%";"131.9729";"um";"38.4757";"um";"35.6775";"um";"35.1601";"um";""
"13";"-13.0182";"um";"-23.0954";"um";"1042.3824";"um2";"4562.8769";"um2";"13569.8602";"um3";"0.068";"%";"128.4957";"um";"39.8748";"um";"37.0766";"um";"36.4308";"um";""
"14";"-17.1401";"um";"-28.2519";"um";"723.7951";"um2";"4058.0066";"um2";"12405.8149";"um3";"0.047";"%";"106.9294";"um";"31.4801";"um";"30.7806";"um";"30.3573";"um";""
"15";"-13.5521";"um";"-27.1999";"um";"604.8754";"um2";"3002.1064";"um2";"8197.2908";"um3";"0.039";"%";"136.7498";"um";"41.2739";"um";"23.7850";"um";"27.7516";"um";""
"16";"-17.6906";"um";"-29.0625";"um";"797.2023";"um2";"3747.0982";"um2";"14102.9004";"um3";"0.052";"%";"112.2858";"um";"37.7761";"um";"29.3814";"um";"31.8595";"um";""
"17";"-15.5099";"um";"-27.3257";"um";"1020.8496";"um2";"4718.4262";"um2";"15833.1998";"um3";"0.066";"%";"123.2387";"um";"38.4757";"um";"37.0766";"um";"36.0525";"um";""
"18";"-16.5506";"um";"-28.0710";"um";"986.5929";"um2";"4661.7445";"um2";"16328.5888";"um3";"0.064";"%";"126.6868";"um";"34.9779";"um";"37.7761";"um";"35.4425";"um";""
"19";"-13.5511";"um";"-24.1013";"um";"764.4137";"um2";"4448.5752";"um2";"10358.5491";"um3";"0.050";"%";"111.5365";"um";"32.1797";"um";"33.5788";"um";"31.1975";"um";""
"20";"-9.6469";"um";"-25.4989";"um";"863.7582";"um2";"3223.6860";"um2";"8332.4828";"um3";"0.056";"%";"120.3702";"um";"40.5744";"um";"31.4801";"um";"33.1628";"um";""
"21";"-14.1699";"um";"-24.7019";"um";"967.9964";"um2";"4298.4756";"um2";"13716.2942";"um3";"0.063";"%";"120.1713";"um";"37.0766";"um";"34.9779";"um";"35.1069";"um";""
"22";"-17.9721";"um";"-27.9362";"um";"1089.3630";"um2";"5393.1853";"um2";"19577.9779";"um3";"0.071";"%";"129.9651";"um";"38.4757";"um";"37.7761";"um";"37.2427";"um";""
"23";"-18.5699";"um";"-28.6854";"um";"925.4202";"um2";"4259.8497";"um2";"17184.8241";"um3";"0.060";"%";"113.9250";"um";"37.7761";"um";"32.8792";"um";"34.3261";"um";""
"24";"-20.1212";"um";"-31.5815";"um";"895.0786";"um2";"4003.4259";"um2";"18009.9360";"um3";"0.058";"%";"114.5748";"um";"34.9779";"um";"34.2783";"um";"33.7587";"um";""
"25";"-16.1097";"um";"-26.7693";"um";"983.1672";"um2";"5374.0454";"um2";"15838.4578";"um3";"0.064";"%";"131.6625";"um";"39.1752";"um";"38.4757";"um";"35.3809";"um";""
"26";"-6.8097";"um";"-27.2627";"um";"1079.0860";"um2";"2991.7203";"um2";"7348.1853";"um3";"0.070";"%";"140.3676";"um";"42.6730";"um";"39.1752";"um";"37.0666";"um";""
"27";"-17.6425";"um";"-27.0991";"um";"981.2097";"um2";"4558.9635";"um2";"17310.9059";"um3";"0.064";"%";"119.4511";"um";"38.4757";"um";"35.6775";"um";"35.3457";"um";""
"28";"-16.4713";"um";"-25.1598";"um";"1200.4526";"um2";"5833.1691";"um2";"19772.9200";"um3";"0.078";"%";"135.7313";"um";"39.8748";"um";"37.7761";"um";"39.0956";"um";""
"29";"-16.3212";"um";"-27.9789";"um";"776.6483";"um2";"3292.4300";"um2";"12675.7163";"um3";"0.050";"%";"116.3134";"um";"37.7761";"um";"31.4801";"um";"31.4461";"um";""
"30";"-16.9050";"um";"-26.7751";"um";"492.8071";"um2";"3047.8584";"um2";"8330.8675";"um3";"0.032";"%";"83.9349";"um";"23.7850";"um";"25.8836";"um";"25.0492";"um";""
"31";"-13.4484";"um";"-23.0147";"um";"1119.2153";"um2";"4670.8319";"um2";"15051.5776";"um3";"0.073";"%";"136.0708";"um";"41.9735";"um";"34.2783";"um";"37.7496";"um";""
"32";"-12.3193";"um";"-23.3939";"um";"828.0333";"um2";"4562.2256";"um2";"10200.6846";"um3";"0.054";"%";"112.3561";"um";"35.6775";"um";"31.4801";"um";"32.4698";"um";""
"33";"-19.8167";"um";"-29.5481";"um";"1020.3602";"um2";"4468.0166";"um2";"20220.0702";"um3";"0.066";"%";"124.7081";"um";"41.9735";"um";"33.5788";"um";"36.0439";"um";""
"34";"-16.1278";"um";"-24.4621";"um";"854.9493";"um2";"4125.9596";"um2";"13788.4003";"um3";"0.056";"%";"108.9081";"um";"35.6775";"um";"32.8792";"um";"32.9933";"um";""
