CSV Version;1
"File name";"35_2b_shiny_10x.vk4"
"Title";"35_2b_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"12:56:11 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"168.415 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6710"
"Brightness2";"7554"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-29.9947";"um";"-45.9230";"um";"1846.4360";"um2";"12477.6723";"um2";"55383.1868";"um3";"0.120";"%";"227.0304";"um";"72.7540";"um";"39.1752";"um";"48.4867";"um";""
"2";"-35.6480";"um";"-48.5326";"um";"1336.0112";"um2";"9075.7220";"um2";"47625.9665";"um3";"0.087";"%";"146.6430";"um";"48.2695";"um";"40.5744";"um";"41.2439";"um";""
"3";"-32.9767";"um";"-49.5303";"um";"1344.8201";"um2";"8647.5696";"um2";"44347.5733";"um3";"0.087";"%";"148.3525";"um";"50.3682";"um";"39.1752";"um";"41.3797";"um";""
"4";"-38.5196";"um";"-51.5150";"um";"1153.4719";"um2";"8430.9102";"um2";"44431.1155";"um3";"0.075";"%";"134.7711";"um";"39.1752";"um";"39.8748";"um";"38.3229";"um";""
"5";"-37.2534";"um";"-50.7836";"um";"1288.5412";"um2";"8499.8732";"um2";"48002.4750";"um3";"0.084";"%";"140.1275";"um";"46.8704";"um";"38.4757";"um";"40.5046";"um";""
"6";"-40.0211";"um";"-52.2520";"um";"1825.3926";"um2";"12813.2703";"um2";"73053.9854";"um3";"0.119";"%";"197.0403";"um";"72.0545";"um";"39.1752";"um";"48.2096";"um";""
"7";"-38.8321";"um";"-53.1333";"um";"1115.3002";"um2";"7322.5988";"um2";"43309.3528";"um3";"0.072";"%";"129.2450";"um";"39.1752";"um";"38.4757";"um";"37.6835";"um";""
"8";"-35.0309";"um";"-49.1703";"um";"1131.4498";"um2";"7533.9724";"um2";"39635.6468";"um3";"0.073";"%";"134.6014";"um";"42.6730";"um";"37.0766";"um";"37.9553";"um";""
"9";"-37.2828";"um";"-49.6120";"um";"1288.0518";"um2";"8675.0739";"um2";"48022.0598";"um3";"0.084";"%";"137.9791";"um";"46.1708";"um";"38.4757";"um";"40.4969";"um";""
"10";"-36.0064";"um";"-47.9401";"um";"1268.9660";"um2";"8411.0325";"um2";"45690.7368";"um3";"0.082";"%";"136.7206";"um";"44.0722";"um";"37.0766";"um";"40.1957";"um";""
