CSV Version,1
"File name","63_7_1b.rpt"
"Title",""
"Measurement date","8/19/2013"
"Measurement time","4:40:53 PM"
"User mode","Easy"
"Objective lens","Standard lens 10.0","x"
"NA","0.300"
"Size","Standard"
"Mode","Surface profile"
"RPD","ON"
"Quality","High accuracy"
"Pitch","4.000 ","um"
"Z measurement distance","334.639 ","um"
"Double scan","Auto(ON)"
"Brightness1","6620"
"Brightness2","7318"
"ND filter","3","%","30","%"
"Optical zoom","1.0","x"
"Average count","1","time"
"Filter","OFF"
"Fine mode","ON"
"Line count","---"
"Line position1","---"
"Line position2","---"
"Line position3","---"
"Camera gain","0","dB"
"Shutter speed","Auto"
"White balance mode","Auto"
"White balance R","108"
"White balance B","174"
"Intensity correction mode","Gamma correction"
"Gamma correction value","0.45"
"Gamma offset","0","%"
"W/B inversion","OFF"
"Head type","VK-X210"
"Correct intensity eccentricity","ON"
"Correct field curvature","ON"
"XY calibration","1399.116 ","nm/pixel"
"Z calibration","0.100 ","nm/digit"
"Saturation","5"
"Contrast","5"
"Brightness","0"
"AI noise elimination","Auto(ON)"
"Angled surface noise filter","Auto(ON)"

"Bump measurement"
"","Average height","","Max. height","","C.S. area","","Surface area","","Volume","","Area ratio","","Perimeter","","Horz. Feret diameter","","Vert. Feret diameter","","Circle equivalent dia","","Comment"
"1","-44.93","um","-66.22","um","1100.13","um2","7149.52","um2","49424.14","um3","0.071","%","127.68","um","41.97","um","34.98","um","37.43","um",""
"2","-57.94","um","-85.66","um","1176.47","um2","9121.93","um2","68168.40","um3","0.076","%","147.46","um","46.17","um","37.78","um","38.70","um",""
"3","-73.15","um","-112.63","um","1288.05","um2","13089.75","um2","94218.21","um3","0.084","%","140.37","um","41.97","um","40.57","um","40.50","um",""
"4","-77.38","um","-116.33","um","1170.60","um2","13100.93","um2","90580.05","um3","0.076","%","143.36","um","43.37","um","37.78","um","38.61","um",""
"5","-47.97","um","-70.11","um","1055.11","um2","7430.61","um2","50616.54","um3","0.069","%","132.45","um","39.18","um","34.98","um","36.65","um",""
"6","-53.99","um","-75.16","um","1235.20","um2","8591.51","um2","66691.74","um3","0.080","%","151.42","um","44.77","um","37.78","um","39.66","um",""
"7","-61.03","um","-90.03","um","978.76","um2","8843.89","um2","59732.72","um3","0.064","%","137.91","um","40.57","um","34.98","um","35.30","um",""
"8","-67.82","um","-99.00","um","1154.94","um2","10589.17","um2","78324.99","um3","0.075","%","134.77","um","40.57","um","37.78","um","38.35","um",""
"9","-70.26","um","-102.81","um","1215.62","um2","11570.24","um2","85415.02","um3","0.079","%","136.07","um","44.77","um","36.38","um","39.34","um",""
"10","-62.16","um","-93.98","um","931.78","um2","8773.86","um2","57920.04","um3","0.061","%","126.38","um","37.78","um","33.58","um","34.44","um",""
"11","-75.01","um","-106.25","um","1244.99","um2","12464.53","um2","93383.99","um3","0.081","%","149.10","um","46.17","um","34.98","um","39.81","um",""
"12","-50.42","um","-74.38","um","1276.31","um2","8570.91","um2","64351.05","um3","0.083","%","140.37","um","41.97","um","39.18","um","40.31","um",""
"13","-48.85","um","-77.62","um","1152.98","um2","7985.94","um2","56325.13","um3","0.075","%","146.64","um","40.57","um","39.18","um","38.31","um",""
"14","-74.81","um","-114.93","um","1188.22","um2","12212.10","um2","88892.46","um3","0.077","%","134.77","um","40.57","um","39.18","um","38.90","um",""
"15","-53.83","um","-84.21","um","986.59","um2","8157.67","um2","53111.36","um3","0.064","%","141.19","um","40.57","um","34.98","um","35.44","um",""
"16","-63.85","um","-94.54","um","935.70","um2","9308.40","um2","59740.60","um3","0.061","%","131.15","um","36.38","um","34.98","um","34.52","um",""
"17","-65.51","um","-99.92","um","976.81","um2","10015.72","um2","63989.78","um3","0.063","%","133.13","um","39.18","um","36.38","um","35.27","um",""
"18","-70.07","um","-104.30","um","965.06","um2","10242.61","um2","67623.28","um3","0.063","%","123.24","um","37.78","um","36.38","um","35.05","um",""
"19","-77.11","um","-118.57","um","1143.19","um2","12254.79","um2","88151.24","um3","0.074","%","139.07","um","43.37","um","36.38","um","38.15","um",""
"20","-69.96","um","-117.14","um","1123.62","um2","12380.43","um2","78612.90","um3","0.073","%","135.25","um","43.37","um","36.38","um","37.82","um",""
"21","-58.13","um","-92.31","um","900.46","um2","8074.47","um2","52346.04","um3","0.058","%","127.54","um","37.78","um","32.18","um","33.86","um",""
"22","-72.87","um","-110.09","um","1057.06","um2","11144.08","um2","77025.90","um3","0.069","%","129.17","um","39.18","um","34.98","um","36.69","um",""
"23","-57.00","um","-91.39","um","1252.82","um2","9904.36","um2","71410.76","um3","0.081","%","152.58","um","46.17","um","40.57","um","39.94","um",""
"24","-61.72","um","-90.59","um","1270.43","um2","10235.77","um2","78409.16","um3","0.083","%","155.86","um","46.17","um","39.18","um","40.22","um",""
"25","-68.09","um","-108.65","um","1109.92","um2","11139.98","um2","75578.21","um3","0.072","%","132.45","um","40.57","um","36.38","um","37.59","um",""
"26","-81.93","um","-112.57","um","1389.84","um2","14447.26","um2","113871.61","um3","0.090","%","152.92","um","44.77","um","40.57","um","42.07","um",""
"27","-76.34","um","-122.11","um","1229.33","um2","13336.69","um2","93847.09","um3","0.080","%","146.64","um","43.37","um","37.78","um","39.56","um",""
"28","-86.01","um","-123.38","um","1415.29","um2","15737.87","um2","121728.74","um3","0.092","%","158.51","um","47.57","um","41.97","um","42.45","um",""
"29","-61.94","um","-94.58","um","1043.36","um2","8951.07","um2","64621.40","um3","0.068","%","140.23","um","39.18","um","37.78","um","36.45","um",""
"30","-68.87","um","-104.56","um","990.51","um2","10387.02","um2","68219.36","um3","0.064","%","126.86","um","37.78","um","34.98","um","35.51","um",""
"31","-52.16","um","-87.76","um","996.38","um2","8085.35","um2","51968.64","um3","0.065","%","142.35","um","44.77","um","32.18","um","35.62","um",""
"32","-70.13","um","-99.40","um","1014.00","um2","10446.25","um2","71113.32","um3","0.066","%","142.55","um","41.97","um","34.98","um","35.93","um",""
"33","-75.49","um","-116.31","um","1184.30","um2","12809.28","um2","89405.79","um3","0.077","%","134.09","um","41.97","um","36.38","um","38.83","um",""
