CSV Version;1
"File name";"63_3a_matte_10x.rpt"
"Title";"63_3a_matte_10x"
"Measurement date";"11/23/2016"
"Measurement time";"2:29:40 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"235.848 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6610"
"Brightness2";"7305"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-24.8053";"um";"-39.2595";"um";"1368.3104";"um2";"9041.7634";"um2";"33941.3470";"um3";"0.089";"%";"150.5712";"um";"48.2695";"um";"37.0766";"um";"41.7395";"um";""
"2";"-34.9899";"um";"-55.5622";"um";"1223.9429";"um2";"9123.9242";"um2";"42825.5832";"um3";"0.080";"%";"140.1275";"um";"44.0722";"um";"37.0766";"um";"39.4762";"um";""
"3";"-53.7253";"um";"-78.7850";"um";"1058.0426";"um2";"11566.2176";"um2";"56843.6926";"um3";"0.069";"%";"135.0112";"um";"39.1752";"um";"36.3770";"um";"36.7034";"um";""
"4";"-46.5026";"um";"-64.7344";"um";"1292.9456";"um2";"11779.4041";"um2";"60125.3740";"um3";"0.084";"%";"150.3311";"um";"47.5699";"um";"37.0766";"um";"40.5738";"um";""
"5";"-21.5586";"um";"-37.8291";"um";"1086.4267";"um2";"6841.1019";"um2";"23421.8170";"um3";"0.071";"%";"127.9161";"um";"40.5744";"um";"34.2783";"um";"37.1925";"um";""
"6";"-31.0744";"um";"-45.7987";"um";"1241.5606";"um2";"7828.7256";"um2";"38580.7061";"um3";"0.081";"%";"143.8156";"um";"43.3726";"um";"36.3770";"um";"39.7593";"um";""
"7";"-27.3533";"um";"-43.9644";"um";"1181.8561";"um2";"7565.8569";"um2";"32327.6384";"um3";"0.077";"%";"160.3941";"um";"48.2695";"um";"34.2783";"um";"38.7916";"um";""
"8";"-30.4443";"um";"-56.4432";"um";"938.1441";"um2";"7959.0220";"um2";"28561.1609";"um3";"0.061";"%";"124.4681";"um";"38.4757";"um";"35.6775";"um";"34.5613";"um";""
"9";"-41.9432";"um";"-59.7359";"um";"1157.3870";"um2";"10136.8392";"um2";"48544.5514";"um3";"0.075";"%";"132.3827";"um";"44.0722";"um";"36.3770";"um";"38.3879";"um";""
"10";"-19.2512";"um";"-35.3035";"um";"850.5449";"um2";"5704.9875";"um2";"16374.0500";"um3";"0.055";"%";"112.2858";"um";"37.7761";"um";"31.4801";"um";"32.9082";"um";""
