CSV Version;1
"File name";"63_3a_shiny_10x.rpt"
"Title";"63_3a_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"1:49:14 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"269.585 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6710"
"Brightness2";"7557"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-22.0551";"um";"-35.3163";"um";"1131.9392";"um2";"6426.5194";"um2";"24965.0308";"um3";"0.078";"%";"136.3400";"um";"39.1752";"um";"41.9735";"um";"37.9635";"um";""
"2";"-26.3559";"um";"-37.6151";"um";"1284.6262";"um2";"6866.1090";"um2";"33857.4792";"um3";"0.088";"%";"139.2085";"um";"43.3726";"um";"39.1752";"um";"40.4430";"um";""
"3";"-44.4031";"um";"-59.7381";"um";"1506.8053";"um2";"10977.7611";"um2";"66906.8512";"um3";"0.103";"%";"158.9950";"um";"54.5655";"um";"40.5744";"um";"43.8010";"um";""
"4";"-41.4074";"um";"-55.1660";"um";"1327.6917";"um2";"10130.9156";"um2";"54976.3195";"um3";"0.091";"%";"151.4902";"um";"47.5699";"um";"39.1752";"um";"41.1153";"um";""
"5";"-32.1602";"um";"-45.9714";"um";"1220.0278";"um2";"7871.9039";"um2";"39236.3965";"um3";"0.084";"%";"143.1658";"um";"46.8704";"um";"38.4757";"um";"39.4130";"um";""
"6";"-32.2093";"um";"-45.7445";"um";"1274.8385";"um2";"7249.2714";"um2";"41061.7204";"um3";"0.088";"%";"139.7880";"um";"45.4713";"um";"37.7761";"um";"40.2886";"um";""
"7";"-24.7945";"um";"-36.0169";"um";"942.0592";"um2";"4645.8065";"um2";"23357.8972";"um3";"0.065";"%";"116.9633";"um";"36.3770";"um";"34.2783";"um";"34.6333";"um";""
"8";"-43.3745";"um";"-65.2959";"um";"1118.2365";"um2";"9445.9513";"um2";"48502.9422";"um3";"0.077";"%";"141.5266";"um";"40.5744";"um";"36.3770";"um";"37.7330";"um";""
"9";"-36.1959";"um";"-51.1900";"um";"1036.0204";"um2";"7448.7315";"um2";"37499.6854";"um3";"0.071";"%";"125.2173";"um";"40.5744";"um";"35.6775";"um";"36.3194";"um";""
"10";"-29.5414";"um";"-45.0232";"um";"1032.1054";"um2";"5926.0417";"um2";"30489.8488";"um3";"0.071";"%";"125.7969";"um";"42.6730";"um";"34.2783";"um";"36.2508";"um";""
