CSV Version;1
"File name";"63_3b_matte_10x.rpt"
"Title";"63_3b_matte_10x"
"Measurement date";"11/23/2016"
"Measurement time";"2:40:12 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"269.469 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6610"
"Brightness2";"7305"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-27.3284";"um";"-41.6172";"um";"1274.3492";"um2";"8108.9301";"um2";"34825.9460";"um3";"0.083";"%";"146.2332";"um";"45.4713";"um";"37.7761";"um";"40.2809";"um";""
"2";"-26.4474";"um";"-42.4577";"um";"1268.4766";"um2";"8915.3092";"um2";"33547.8763";"um3";"0.082";"%";"152.5498";"um";"44.7717";"um";"37.7761";"um";"40.1880";"um";""
"3";"-25.9892";"um";"-45.4235";"um";"1157.3870";"um2";"7015.6887";"um2";"30079.5289";"um3";"0.075";"%";"135.0112";"um";"42.6730";"um";"37.0766";"um";"38.3879";"um";""
"4";"-27.2522";"um";"-44.5130";"um";"970.4433";"um2";"6624.6275";"um2";"26446.7425";"um3";"0.063";"%";"132.6227";"um";"39.8748";"um";"32.1797";"um";"35.1512";"um";""
"5";"-27.1962";"um";"-42.0413";"um";"839.7785";"um2";"6279.1553";"um2";"22838.7856";"um3";"0.055";"%";"111.2965";"um";"36.3770";"um";"31.4801";"um";"32.6992";"um";""
"6";"-25.6927";"um";"-42.0697";"um";"1041.4036";"um2";"7202.9348";"um2";"26756.4360";"um3";"0.068";"%";"122.7295";"um";"40.5744";"um";"34.2783";"um";"36.4137";"um";""
"7";"-23.2595";"um";"-40.1993";"um";"836.3528";"um2";"5933.6838";"um2";"19453.1672";"um3";"0.054";"%";"114.3348";"um";"37.7761";"um";"30.0810";"um";"32.6325";"um";""
"8";"-24.3025";"um";"-45.2343";"um";"1005.1894";"um2";"6832.0918";"um2";"24428.5758";"um3";"0.065";"%";"124.7081";"um";"41.9735";"um";"31.4801";"um";"35.7749";"um";""
"9";"-28.0371";"um";"-44.5767";"um";"663.6012";"um2";"5020.6423";"um2";"18605.4329";"um3";"0.043";"%";"102.8024";"um";"34.9779";"um";"27.2828";"um";"29.0676";"um";""
"10";"-28.4524";"um";"-43.5415";"um";"506.9991";"um2";"4438.9299";"um2";"14425.3537";"um3";"0.033";"%";"92.9091";"um";"31.4801";"um";"22.3859";"um";"25.4073";"um";""
