CSV Version;1
"File name";"63_3b_shiny_10x.rpt"
"Title";"63_3b_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"1:59:26 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"213.230 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6710"
"Brightness2";"7557"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-20.8566";"um";"-36.0279";"um";"1138.3011";"um2";"7541.2459";"um2";"23741.1409";"um3";"0.074";"%";"161.9630";"um";"46.8704";"um";"39.8748";"um";"38.0701";"um";""
"2";"-22.4963";"um";"-36.8183";"um";"1196.0481";"um2";"7722.3468";"um2";"26906.6148";"um3";"0.078";"%";"133.0325";"um";"42.6730";"um";"37.7761";"um";"39.0238";"um";""
"3";"-26.0202";"um";"-36.9778";"um";"1392.7795";"um2";"8173.6759";"um2";"36240.3991";"um3";"0.090";"%";"144.0848";"um";"45.4713";"um";"42.6730";"um";"42.1111";"um";""
"4";"-22.5547";"um";"-32.3783";"um";"1313.0103";"um2";"5839.9657";"um2";"29614.6171";"um3";"0.085";"%";"140.1978";"um";"43.3726";"um";"41.2739";"um";"40.8874";"um";""
"5";"-21.4045";"um";"-31.7929";"um";"1263.5828";"um2";"6703.6061";"um2";"27046.3140";"um3";"0.082";"%";"135.4210";"um";"45.4713";"um";"37.0766";"um";"40.1104";"um";""
"6";"-16.4982";"um";"-28.5218";"um";"1391.8007";"um2";"6579.9168";"um2";"22962.2557";"um3";"0.090";"%";"150.9810";"um";"51.7673";"um";"37.0766";"um";"42.0963";"um";""
"7";"-18.5847";"um";"-28.6007";"um";"1383.4812";"um2";"5879.6296";"um2";"25711.5466";"um3";"0.090";"%";"143.4059";"um";"47.5699";"um";"39.1752";"um";"41.9703";"um";""
"8";"-23.5202";"um";"-33.6558";"um";"1177.4516";"um2";"6533.8729";"um2";"27693.9249";"um3";"0.076";"%";"131.8734";"um";"42.6730";"um";"34.9779";"um";"38.7192";"um";""
"9";"-20.7701";"um";"-31.0679";"um";"1204.8570";"um2";"5156.6516";"um2";"25024.9741";"um3";"0.078";"%";"131.2939";"um";"41.9735";"um";"37.7761";"um";"39.1672";"um";""
"10";"-15.7749";"um";"-24.1471";"um";"1226.3898";"um2";"5194.8079";"um2";"19346.1785";"um3";"0.080";"%";"135.5907";"um";"45.4713";"um";"37.0766";"um";"39.5157";"um";""
"11";"-8.8491";"um";"-17.2042";"um";"1152.4932";"um2";"5069.6589";"um2";"10198.5570";"um3";"0.075";"%";"132.0432";"um";"44.0722";"um";"34.9779";"um";"38.3067";"um";""
"12";"-22.4135";"um";"-35.0734";"um";"1147.5994";"um2";"8119.7974";"um2";"25721.7619";"um3";"0.075";"%";"132.7925";"um";"44.7717";"um";"34.9779";"um";"38.2252";"um";""
"13";"-16.0856";"um";"-32.7253";"um";"1333.0749";"um2";"6322.2086";"um2";"21443.3071";"um3";"0.087";"%";"167.3194";"um";"51.0677";"um";"42.6730";"um";"41.1986";"um";""
