CSV Version;1
"File name";"63_3c_matte_10x.rpt"
"Title";"63_3c_matte_10x"
"Measurement date";"11/23/2016"
"Measurement time";"2:48:30 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"224.485 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6620"
"Brightness2";"7316"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-27.9019";"um";"-46.4369";"um";"1113.8321";"um2";"9056.9419";"um2";"31078.0190";"um3";"0.072";"%";"129.3153";"um";"41.2739";"um";"36.3770";"um";"37.6587";"um";""
"2";"-29.3323";"um";"-44.3598";"um";"1129.4923";"um2";"8570.7869";"um2";"33130.5673";"um3";"0.073";"%";"128.2556";"um";"43.3726";"um";"35.6775";"um";"37.9225";"um";""
"3";"-28.7517";"um";"-46.0889";"um";"1140.7480";"um2";"8915.8592";"um2";"32798.4720";"um3";"0.074";"%";"128.4957";"um";"42.6730";"um";"34.2783";"um";"38.1110";"um";""
"4";"-33.6341";"um";"-53.9096";"um";"994.9124";"um2";"7973.6689";"um2";"33462.9853";"um3";"0.065";"%";"127.5064";"um";"41.9735";"um";"31.4801";"um";"35.5916";"um";""
"5";"-29.0201";"um";"-48.4046";"um";"773.2226";"um2";"5647.1549";"um2";"22439.0011";"um3";"0.050";"%";"110.2077";"um";"38.4757";"um";"27.2828";"um";"31.3767";"um";""
"6";"-40.5276";"um";"-57.3298";"um";"748.7535";"um2";"7130.1254";"um2";"30345.1898";"um3";"0.049";"%";"113.4449";"um";"33.5788";"um";"32.1797";"um";"30.8762";"um";""
"7";"-36.1401";"um";"-56.8347";"um";"1091.3205";"um2";"8920.8270";"um2";"39440.4539";"um3";"0.071";"%";"136.9898";"um";"47.5699";"um";"33.5788";"um";"37.2762";"um";""
"8";"-29.0020";"um";"-45.9113";"um";"502.1053";"um2";"4909.7032";"um2";"14562.0599";"um3";"0.033";"%";"85.3340";"um";"28.6819";"um";"23.0854";"um";"25.2844";"um";""
"9";"-39.0740";"um";"-57.5222";"um";"553.0010";"um2";"5824.0101";"um2";"21607.9620";"um3";"0.036";"%";"91.8495";"um";"30.7806";"um";"26.5832";"um";"26.5349";"um";""
"10";"-35.8596";"um";"-54.9336";"um";"616.6206";"um2";"5805.5399";"um2";"22111.7615";"um3";"0.040";"%";"95.4673";"um";"30.0810";"um";"27.9823";"um";"28.0197";"um";""
