CSV Version;1
"File name";"63_3c_shiny_10x.rpt"
"Title";"63_3c_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"2:11:09 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"269.669 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6860"
"Brightness2";"7726"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-18.9325";"um";"-31.6523";"um";"1512.1885";"um2";"7380.1174";"um2";"28629.4984";"um3";"0.107";"%";"165.3407";"um";"50.3682";"um";"40.5744";"um";"43.8791";"um";""
"2";"-22.4483";"um";"-33.8715";"um";"1355.5865";"um2";"7800.3474";"um2";"30430.6779";"um3";"0.096";"%";"150.4014";"um";"41.2739";"um";"41.9735";"um";"41.5450";"um";""
"3";"-23.6311";"um";"-37.4707";"um";"1301.7545";"um2";"7290.0996";"um2";"30761.8262";"um3";"0.092";"%";"146.1338";"um";"46.8704";"um";"38.4757";"um";"40.7117";"um";""
"4";"-21.2417";"um";"-33.6734";"um";"1406.9715";"um2";"6981.5609";"um2";"29886.4424";"um3";"0.100";"%";"142.3171";"um";"44.7717";"um";"39.8748";"um";"42.3251";"um";""
"5";"-20.2468";"um";"-30.5871";"um";"1086.9161";"um2";"5595.8192";"um2";"22006.6082";"um3";"0.077";"%";"127.0966";"um";"41.9735";"um";"33.5788";"um";"37.2009";"um";""
"6";"-19.1293";"um";"-29.6151";"um";"1336.9900";"um2";"7614.5442";"um2";"25575.7324";"um3";"0.095";"%";"145.4548";"um";"47.5699";"um";"37.0766";"um";"41.2590";"um";""
"7";"-19.8251";"um";"-34.4738";"um";"968.9752";"um2";"5466.8930";"um2";"19210.0212";"um3";"0.069";"%";"140.5373";"um";"41.9735";"um";"33.5788";"um";"35.1246";"um";""
"8";"-17.8141";"um";"-28.4012";"um";"1107.9595";"um2";"6000.2774";"um2";"19737.3519";"um3";"0.079";"%";"128.5951";"um";"41.9735";"um";"37.7761";"um";"37.5593";"um";""
"9";"-18.9847";"um";"-28.5519";"um";"1017.9133";"um2";"5246.6863";"um2";"19324.8054";"um3";"0.072";"%";"123.5491";"um";"40.5744";"um";"33.5788";"um";"36.0007";"um";""
"10";"-18.8850";"um";"-30.4264";"um";"1142.7056";"um2";"6207.2592";"um2";"21579.9815";"um3";"0.081";"%";"133.0325";"um";"41.9735";"um";"37.7761";"um";"38.1436";"um";""
"11";"-16.6823";"um";"-27.9875";"um";"1322.7979";"um2";"9090.9590";"um2";"22067.2515";"um3";"0.094";"%";"150.0911";"um";"45.4713";"um";"42.6730";"um";"41.0395";"um";""
"12";"-21.8290";"um";"-35.0510";"um";"1408.9290";"um2";"7684.9038";"um2";"30755.4740";"um3";"0.100";"%";"165.3407";"um";"49.6686";"um";"41.9735";"um";"42.3545";"um";""
"13";"-19.7268";"um";"-31.4793";"um";"1350.2033";"um2";"9118.0913";"um2";"26635.1894";"um3";"0.096";"%";"150.6706";"um";"46.1708";"um";"39.1752";"um";"41.4624";"um";""
"14";"-23.2922";"um";"-34.4087";"um";"999.3168";"um2";"5271.4224";"um2";"23276.2620";"um3";"0.071";"%";"127.3366";"um";"34.9779";"um";"39.8748";"um";"35.6703";"um";""
"15";"-23.0236";"um";"-34.5304";"um";"1296.8607";"um2";"7192.3208";"um2";"29858.3656";"um3";"0.092";"%";"148.1124";"um";"48.2695";"um";"36.3770";"um";"40.6351";"um";""
"16";"-21.9931";"um";"-32.7504";"um";"1275.3279";"um2";"6154.4082";"um2";"28048.3765";"um3";"0.091";"%";"163.8422";"um";"46.1708";"um";"39.1752";"um";"40.2964";"um";""
"17";"-25.3624";"um";"-36.3168";"um";"1355.0971";"um2";"7647.1517";"um2";"34368.4883";"um3";"0.096";"%";"140.8477";"um";"48.2695";"um";"37.0766";"um";"41.5375";"um";""
"18";"-21.0029";"um";"-33.2034";"um";"651.8560";"um2";"3708.6803";"um2";"13690.8400";"um3";"0.046";"%";"107.3392";"um";"30.0810";"um";"35.6775";"um";"28.8092";"um";""
"19";"-20.2028";"um";"-31.9770";"um";"849.5661";"um2";"5101.1108";"um2";"17163.6298";"um3";"0.060";"%";"115.1544";"um";"31.4801";"um";"36.3770";"um";"32.8892";"um";""
"20";"-22.1300";"um";"-31.5982";"um";"1093.7674";"um2";"6091.2878";"um2";"24205.1039";"um3";"0.078";"%";"126.2067";"um";"41.2739";"um";"36.3770";"um";"37.3179";"um";""
"21";"-22.0138";"um";"-33.6780";"um";"1353.1396";"um2";"8726.4352";"um2";"29787.7560";"um3";"0.096";"%";"150.6003";"um";"44.0722";"um";"40.5744";"um";"41.5075";"um";""
"22";"-24.1750";"um";"-35.5318";"um";"1379.5662";"um2";"7120.3457";"um2";"33351.0683";"um3";"0.098";"%";"171.2767";"um";"51.0677";"um";"37.7761";"um";"41.9108";"um";""
"23";"-25.1343";"um";"-36.3380";"um";"1248.9013";"um2";"7429.3126";"um2";"31390.3023";"um3";"0.089";"%";"139.2085";"um";"43.3726";"um";"38.4757";"um";"39.8767";"um";""
"24";"-28.5441";"um";"-40.3970";"um";"1428.5043";"um2";"8303.9570";"um2";"40775.3160";"um3";"0.101";"%";"151.2210";"um";"48.2695";"um";"37.0766";"um";"42.6477";"um";""
"25";"-17.9802";"um";"-29.6818";"um";"1157.8764";"um2";"8239.6775";"um2";"20818.8463";"um3";"0.082";"%";"137.5693";"um";"45.4713";"um";"34.2783";"um";"38.3960";"um";""
"26";"-26.7429";"um";"-39.7540";"um";"1010.5726";"um2";"6388.4829";"um2";"27025.6428";"um3";"0.072";"%";"134.6717";"um";"41.9735";"um";"38.4757";"um";"35.8706";"um";""
"27";"-26.6943";"um";"-37.8888";"um";"1332.5855";"um2";"7919.4570";"um2";"35572.3862";"um3";"0.095";"%";"146.0343";"um";"46.1708";"um";"37.7761";"um";"41.1910";"um";""
